Name,City,State,Phone,Link
TLC Pet & Uptown Cat Hospital,Albuquerque,NM,(505) 271-2287,http://www.findalocalvet.com/Profiles/TLC-Pet-Uptown-Cat-Hospital.aspx
Schrag Animal Clinic,Oklahoma City,OK,(405) 681-0829,http://www.findalocalvet.com/Profiles/Schrag-Animal-Clinic.aspx
Abadie Veterinary Hospital,Harahan,LA,,http://www.findalocalvet.com/Profiles/Abadie-Veterinary-Hospital.aspx
St Paul Veterinary Clinic,Milwaukee,WI,,http://www.findalocalvet.com/Profiles/St-Paul-Veterinary-Clinic2.aspx
Animal Hospital of West Nashville,Nashville,TN,(615) 356-8993,http://www.findalocalvet.com/Profiles/Animal-Hospital-of-West-Nashville.aspx
State Street Dog & Cat Hosp,Milwaukee,WI,,http://www.findalocalvet.com/Profiles/State-Street-Dog-Cat-Hosp.aspx
Caring for Cats,Philadelphia,PA,(215) 509-6060,http://www.findalocalvet.com/Profiles/Caring-for-Cats.aspx
Point Loma Veterinary Clinic,San Diego,CA,(619) 222-4482,http://www.findalocalvet.com/Profiles/Point-Loma-Veterinary-Clinic.aspx
McGehee Clinic for Animals,Memphis,TN,(901) 682-5684,http://www.findalocalvet.com/Profiles/McGehee-Clinic-for-Animals.aspx
Veterinary Ophthalmology Spec,Minneapolis,MN,(952) 929-8299,http://www.findalocalvet.com/Profiles/Veterinary-Ophthalmology-Spec.aspx
The Lake Veterinary Hospital,Oakland,CA,(510) 452-1255,http://www.findalocalvet.com/Profiles/The-Lake-Veterinary-Hospital.aspx
Claremont Veterinary Hospital,Oakland,CA,,http://www.findalocalvet.com/Profiles/Claremont-Veterinary-Hospital.aspx
Apache Animal Clinic & Hospital,Minneapolis,MN,(612) 781-2734,http://www.findalocalvet.com/Profiles/Apache-Animal-Clinic-Hospital.aspx
South Mountain Vet Clinic,Phoenix,AZ,(480) 759-4800,http://www.findalocalvet.com/Profiles/South-Mountain-Vet-Clinic.aspx
Broadway Pet Hospital,Oakland,CA,(510) 653-0212,http://www.findalocalvet.com/Profiles/Broadway-Pet-Hospital.aspx
Value Vet II,Nashville,TN,,http://www.findalocalvet.com/Profiles/Value-Vet-II.aspx
